frame,t_s,s_m,x,y,z,speed_ms,speed_kph,curvature,heading_rad,accel_long_ms2,accel_lat_ms2,wheel_rot_rad,steer_norm,pitch_rad,roll_rad,wheelspin
105,4.375000,80.5920,82.1085,6.3718,0.0000,41.54432,149.560,0.0000000,0.000000,11.6064,0.0000,233.00649,0.00000,-0.010804,0.000000,0
106,4.416667,82.3308,83.7097,6.9546,0.0000,42.02792,151.301,0.0000000,0.000000,11.6066,0.0000,237.83649,0.00000,-0.010804,0.000000,0
107,4.458333,84.0898,85.3296,7.5441,0.0000,42.51154,153.042,0.0000000,0.000000,11.6068,0.0000,242.72253,0.00000,-0.010804,0.000000,0
108,4.500000,85.8689,86.9681,8.1404,0.0000,42.99516,154.783,0.0000000,0.000000,11.6070,0.0000,247.66459,0.00000,-0.010804,0.000000,0
109,4.541667,87.6682,88.6251,8.7434,0.0000,43.47879,156.524,0.0000000,0.000000,11.6072,0.0000,252.66264,0.00000,-0.010805,0.000000,0
110,4.583333,89.4876,90.3006,9.3532,0.0000,43.96243,158.265,0.0000000,0.000000,11.6074,0.0000,257.71662,0.00000,-0.010805,0.000000,0
111,4.625000,91.3272,91.9947,9.9697,0.0000,44.44607,160.006,0.0000000,0.000000,11.6076,0.0000,262.82652,0.00000,-0.010805,0.000000,0
112,4.666667,93.1870,93.7074,10.5930,0.0000,44.92973,161.747,0.0000000,0.000000,11.6078,0.0000,267.99260,0.00000,-0.010805,0.000000,0
113,4.708333,95.0668,95.4386,11.2231,0.0000,45.41339,163.488,0.0000000,0.000000,11.6080,0.0000,273.21446,0.00000,-0.010805,0.000000,0
114,4.750000,96.9670,97.1884,11.8599,0.0000,45.89706,165.229,0.0000000,0.000000,11.6081,0.0000,278.49254,0.00000,-0.010805,0.000000,0
115,4.791667,98.8872,98.9568,12.5034,0.0000,46.38074,166.971,0.0000000,0.000000,11.6083,0.0000,283.82648,0.00000,-0.010806,0.000000,0
116,4.833333,100.8275,100.7437,13.1537,0.0000,46.86442,168.712,0.0000000,0.000000,11.6085,0.0000,289.21636,0.00000,-0.010806,0.000000,0
117,4.875000,102.7881,102.5492,13.8108,0.0000,47.34811,170.453,0.0000000,0.000000,11.6086,0.0000,294.66232,0.00000,-0.010806,0.000000,0
118,4.916667,104.7688,104.3733,14.4746,0.0000,47.83180,172.194,0.0000000,0.000000,11.6088,0.0000,300.16428,0.00000,-0.010806,0.000000,0
119,4.958333,106.7696,106.2159,15.1452,0.0000,48.31551,173.936,0.0000000,0.000000,11.6089,0.0000,305.72221,0.00000,-0.010806,0.000000,0
120,5.000000,108.7906,108.0771,15.8226,0.0000,48.79921,175.677,0.0000000,0.000000,11.6091,0.0000,311.33610,0.00000,-0.010806,0.000000,0
121,5.041667,110.8318,109.9568,16.5066,0.0000,49.28293,177.419,0.0000000,0.000000,11.6092,0.0000,317.00603,0.00000,-0.010806,0.000000,0
122,5.083333,112.8932,111.8552,17.1975,0.0000,49.76665,179.160,0.0000000,0.000000,11.6093,0.0000,322.73199,0.00000,-0.010806,0.000000,0
123,5.125000,114.9746,113.7720,17.8951,0.0000,50.25037,180.901,0.0000000,0.000000,11.6095,0.0000,328.51388,0.00000,-0.010807,0.000000,0
124,5.166667,117.0763,115.7074,18.5995,0.0000,50.73411,182.643,0.0000000,0.000000,11.6096,0.0000,334.35172,0.00000,-0.010807,0.000000,0
125,5.208333,119.1981,117.6615,19.3106,0.0000,51.21784,184.384,0.0000000,0.000000,11.6097,0.0000,340.24567,0.00000,-0.010807,0.000000,0
126,5.250000,121.3400,119.6340,20.0285,0.0000,51.70158,186.126,0.0000000,0.000000,11.6098,0.0000,346.19550,0.00000,-0.010807,0.000000,0
127,5.291667,123.5021,121.6251,20.7531,0.0000,52.18533,187.867,0.0000000,0.000000,11.6100,0.0000,352.20138,0.00000,-0.010807,0.000000,0
128,5.333333,125.6844,123.6348,21.4845,0.0000,52.66908,189.609,0.0000000,0.000000,11.6101,0.0000,358.26328,0.00000,-0.010807,0.000000,0
129,5.375000,127.8868,125.6631,22.2226,0.0000,53.15283,191.350,0.0000000,0.000000,11.6102,0.0000,364.38112,0.00000,-0.010807,0.000000,0
130,5.416667,130.1094,127.7099,22.9675,0.0000,53.63659,193.092,0.0000000,0.000000,11.6103,0.0000,370.55495,0.00000,-0.010807,0.000000,0
131,5.458333,132.3522,129.7753,23.7192,0.0000,54.12036,194.833,0.0000000,0.000000,11.6104,0.0000,376.78479,0.00000,-0.010807,0.000000,0
132,5.500000,134.6151,131.8592,24.4776,0.0000,54.60413,196.575,0.0000000,0.000000,11.6105,0.0000,383.07063,0.00000,-0.010808,0.000000,0
133,5.541667,136.8981,133.9617,25.2427,0.0000,55.08790,198.316,0.0000000,0.000000,11.6106,0.0000,389.41247,0.00000,-0.010808,0.000000,0
134,5.583333,139.2013,136.0828,26.0146,0.0000,55.57168,200.058,0.0000000,0.000000,11.6107,0.0000,395.81028,0.00000,-0.010808,0.000000,0
135,5.625000,141.5247,138.2224,26.7933,0.0000,56.05546,201.800,0.0000000,0.000000,11.6108,0.0000,402.26404,0.00000,-0.010808,0.000000,0
136,5.666667,143.8682,140.3806,27.5787,0.0000,56.53924,203.541,0.0000000,0.000000,11.6109,0.0000,408.77389,0.00000,-0.010808,0.000000,0
137,5.708333,146.2319,142.5574,28.3709,0.0000,57.02303,205.283,0.0000000,0.000000,11.6110,0.0000,415.33967,0.00000,-0.010808,0.000000,0
138,5.750000,148.6158,144.7527,29.1699,0.0000,57.50682,207.025,0.0000000,0.000000,11.6111,0.0000,421.96147,0.00000,-0.010808,0.000000,0
139,5.791667,151.0198,146.9666,29.9756,0.0000,57.99062,208.766,0.0000000,0.000000,11.6111,0.0000,428.63920,0.00000,-0.010808,0.000000,0
140,5.833333,153.4439,149.1990,30.7880,0.0000,58.47442,210.508,0.0000000,0.000000,11.6112,0.0000,435.37302,0.00000,-0.010808,0.000000,0
141,5.875000,155.8882,151.4501,31.6072,0.0000,58.95822,212.250,0.0000000,0.000000,11.6113,0.0000,442.16279,0.00000,-0.010808,0.000000,0
142,5.916667,158.3527,153.7196,32.4332,0.0000,59.44203,213.991,0.0000000,0.000000,11.6114,0.0000,449.00853,0.00000,-0.010808,0.000000,0
143,5.958333,160.8373,156.0078,33.2659,0.0000,59.92583,215.733,0.0000000,0.000000,11.6115,0.0000,455.91028,0.00000,-0.010808,0.000000,0
144,6.000000,163.3421,158.3145,34.1054,0.0000,60.40965,217.475,0.0000000,0.000000,11.6115,0.0000,462.86802,0.00000,-0.010809,0.000000,0
145,6.041667,165.8671,160.6397,34.9516,0.0000,60.89346,219.216,0.0000000,0.000000,9.3815,0.0000,469.88177,0.00000,-0.008733,0.000000,0
146,6.083333,168.4113,162.6845,36.4219,0.0000,61.19144,220.289,0.0000000,0.000000,6.7179,0.0000,476.94910,0.00000,-0.006253,0.000000,0
147,6.125000,170.9671,164.6805,38.0190,0.0000,61.45328,221.232,0.0000000,0.000000,6.2843,0.0000,484.04839,0.00000,-0.005850,0.000000,0
148,6.166667,173.5337,166.6850,39.6229,0.0000,61.71513,222.174,0.0000000,0.000000,6.2843,0.0000,491.17800,0.00000,-0.005850,0.000000,0
149,6.208333,176.1113,168.6981,41.2337,0.0000,61.97697,223.117,0.0000000,0.000000,6.2843,0.0000,498.33798,0.00000,-0.005850,0.000000,0
150,6.250000,178.6998,170.7197,42.8512,0.0000,62.23882,224.060,0.0000000,0.000000,6.2843,0.0000,505.52827,0.00000,-0.005850,0.000000,0
151,6.291667,181.2992,172.7498,44.4756,0.0000,62.50067,225.002,0.0000000,0.000000,6.2843,0.0000,512.74886,0.00000,-0.005850,0.000000,0
152,6.333333,183.9096,174.7884,46.1069,0.0000,62.76251,225.945,0.0000000,0.000000,6.2843,0.0000,519.99982,0.00000,-0.005850,0.000000,0
153,6.375000,186.5308,176.8356,47.7449,0.0000,63.02436,226.888,0.0000000,0.000000,6.2843,0.0000,527.28106,0.00000,-0.005850,0.000000,0
154,6.416667,189.1630,178.8912,49.3898,0.0000,63.28621,227.830,0.0000000,0.000000,6.2843,0.0000,534.59268,0.00000,-0.005850,0.000000,0
155,6.458333,191.8061,180.9554,51.0414,0.0000,63.54805,228.773,0.0000000,0.000000,6.2844,0.0000,541.93457,0.00000,-0.005850,0.000000,0
156,6.500000,194.4601,183.0282,52.7000,0.0000,63.80990,229.716,0.0000000,0.000000,6.2844,0.0000,549.30683,0.00000,-0.005850,0.000000,0
157,6.541667,197.1250,185.1095,54.3653,0.0000,64.07175,230.658,0.0000000,0.000000,6.2844,0.0000,556.70940,0.00000,-0.005850,0.000000,0
158,6.583333,199.8009,187.1992,56.0374,0.0000,64.33360,231.601,0.0000000,0.000000,6.2844,0.0000,564.14227,0.00000,-0.005850,0.000000,0
159,6.625000,202.4876,189.2976,57.7164,0.0000,64.59545,232.544,0.0000000,0.000000,6.2844,0.0000,571.60552,0.00000,-0.005850,0.000000,0
160,6.666667,205.1853,191.4044,59.4022,0.0000,64.85730,233.486,0.0000000,0.000000,6.2844,0.0000,579.09907,0.00000,-0.005850,0.000000,0
